|X_Positions|Y_Positions
421|[179.16281967]|[216.46346973]
422|[179.16281967]|[216.46346973]
423|[179.90649944]|[217.76613638]
424|[179.90649944]|[217.76613638]
425|[181.01743472]|[218.77401673]
426|[181.01743472]|[218.77401673]
427|[182.19314595]|[219.70552256]
428|[183.53282455]|[220.38025305]
429|[183.53282455]|[220.38025305]
430|[184.98516928]|[220.75534608]
431|[184.98516928]|[220.75534608]
432|[186.46314809]|[221.01142935]
433|[186.46314809]|[221.01142935]
434|[186.46314809]|[221.01142935]
435|[186.46314809]|[221.01142935]
436|[187.81079503]|[221.67010054]
437|[189.18574101]|[222.26970336]
438|[190.59610149]|[222.78047076]
439|[190.59610149]|[222.78047076]
440|[191.93055617]|[223.46547492]
441|[191.93055617]|[223.46547492]
442|[193.42716114]|[223.5663389]
443|[194.92667939]|[223.60435234]
444|[194.92667939]|[223.60435234]
445|[196.41551845]|[223.42170987]
446|[196.41551845]|[223.42170987]
447|[196.41551845]|[223.42170987]
448|[197.88989036]|[223.14561668]
449|[199.34539242]|[222.7829684]
450|[200.7616897]|[222.28890159]
451|[200.7616897]|[222.28890159]
452|[202.03925575]|[221.50288315]
453|[203.27342678]|[220.65034467]
454|[203.27342678]|[220.65034467]
455|[204.33090523]|[219.5865123]
456|[204.33090523]|[219.5865123]
457|[204.97352242]|[218.23113664]
458|[205.48958323]|[216.82270445]
459|[205.48958323]|[216.82270445]
460|[205.49620323]|[215.32271906]
461|[205.49620323]|[215.32271906]
462|[206.28064733]|[214.04418574]
463|[206.45809231]|[212.55471829]
464|[206.45809231]|[212.55471829]
465|[206.70400537]|[211.07501333]
466|[206.70400537]|[211.07501333]
467|[207.41280222]|[209.75304245]
468|[207.41280222]|[209.75304245]
469|[207.29385339]|[208.25776616]
470|[206.58153607]|[206.93768888]
471|[206.58153607]|[206.93768888]
472|[206.58153607]|[206.93768888]
473|[205.53402243]|[205.86404313]
474|[204.48650773]|[204.79039844]
475|[204.48650773]|[204.79039844]
476|[203.43899211]|[203.71675462]
477|[203.43899211]|[203.71675462]
478|[202.39147291]|[202.64311431]
479|[202.39147291]|[202.64311431]
480|[202.39147291]|[202.64311431]
481|[201.34394673]|[201.5694808]
482|[201.34394673]|[201.5694808]
483|[200.29641517]|[200.49585255]
484|[200.29641517]|[200.49585255]
485|[199.24887883]|[199.42222896]
486|[199.24887883]|[199.42222896]
487|[199.24887883]|[199.42222896]
488|[199.24887883]|[199.42222896]
489|[198.20134608]|[198.34860186]
490|[198.20134608]|[198.34860186]
491|[197.15381307]|[197.27497502]
492|[197.15381307]|[197.27497502]
493|[197.15381307]|[197.27497502]
494|[196.10627906]|[196.20134916]
495|[196.10627906]|[196.20134916]
496|[195.05874297]|[195.12772532]
497|[194.01120855]|[194.05409986]
498|[192.96367596]|[192.98047261]
499|[192.96367596]|[192.98047261]
500|[191.9161565]|[191.90683255]
501|[190.86864075]|[190.83318887]
502|[190.86864075]|[190.83318887]
503|[190.86864075]|[190.83318887]
504|[189.82115333]|[189.75951754]
505|[189.82115333]|[189.75951754]
506|[189.82115333]|[189.75951754]
507|[188.77369314]|[188.68581966]
508|[188.77369314]|[188.68581966]
509|[187.72625941]|[187.61209596]
510|[186.67883007]|[186.53836798]
511|[185.63140852]|[185.4646324]
512|[184.58399936]|[184.39088474]
513|[183.53660342]|[183.31712417]
514|[182.48922048]|[182.24335092]
515|[181.44185208]|[181.1695635]
516|[180.39449835]|[180.09576176]
517|[179.34715917]|[179.02194584]
518|[178.29983549]|[177.9481148]
519|[177.25252409]|[176.87427178]
520|[176.20521992]|[175.8004217]
521|[175.03283003]|[176.73610431]
522|[174.38735203]|[178.09011988]
523|[174.01267094]|[179.54257094]
524|[173.78598147]|[181.02534263]
525|[173.65545041]|[182.51965238]
526|[173.5469663]|[184.0157243]
527|[173.41864033]|[185.51022504]
528|[173.2455429]|[187.00020399]
529|[173.06515581]|[188.48931799]
530|[172.90915164]|[189.9811835]
531|[172.80490719]|[191.47755681]
532|[172.76780906]|[192.97709798]
533|[172.80811996]|[194.47655623]
534|[172.84524822]|[195.97609666]
535|[172.92454894]|[197.47399899]
536|[173.26297921]|[198.935322]
537|[173.52465294]|[200.41232128]
538|[173.75722518]|[201.89418165]
539|[173.75722518]|[201.89418165]
540|[173.75722518]|[201.89418165]
541|[173.88258007]|[203.38893452]
542|[173.88258007]|[203.38893452]
543|[173.98245257]|[204.88560599]
544|[173.98245257]|[204.88560599]
545|[174.12282473]|[206.37902343]
546|[174.12282473]|[206.37902343]
547|[174.30443523]|[207.86798872]
548|[174.30443523]|[207.86798872]
549|[174.30443523]|[207.86798872]
550|[174.30443523]|[207.86798872]
551|[174.30443523]|[207.86798872]
552|[174.57368672]|[209.34362541]
553|[174.57368672]|[209.34362541]
554|[174.79358168]|[210.82741994]
555|[174.79358168]|[210.82741994]
556|[174.88073713]|[212.32488577]
557|[174.88073713]|[212.32488577]
558|[174.86899985]|[213.82483985]
559|[174.86899985]|[213.82483985]
560|[174.94462052]|[215.32293248]
561|[174.94462052]|[215.32293248]
562|[175.15018792]|[216.80877972]
563|[175.15018792]|[216.80877972]
564|[175.445105]|[218.27950196]
