|dog_x_positions|dog_y_positions
411|[143.02249697]|[236.74704882]
412|[143.02249697]|[236.74704882]
413|[144.51933259]|[236.84443018]
414|[146.01922205]|[236.86263983]
415|[147.51090344]|[236.70488487]
416|[147.51090344]|[236.70488487]
417|[148.93751006]|[236.24142662]
418|[148.93751006]|[236.24142662]
419|[150.33360636]|[235.6928693]
420|[151.66244226]|[234.99702798]
421|[151.66244226]|[234.99702798]
422|[152.83969324]|[234.06746887]
423|[153.92719378]|[233.03434614]
424|[153.92719378]|[233.03434614]
425|[154.49260253]|[231.64498911]
426|[154.49260253]|[231.64498911]
427|[155.51269927]|[230.54526068]
428|[155.51269927]|[230.54526068]
429|[154.58020724]|[229.37033149]
430|[153.78284722]|[228.09981309]
431|[153.78284722]|[228.09981309]
432|[153.23292965]|[226.70425204]
433|[152.5617937]|[225.36276907]
434|[152.5617937]|[225.36276907]
435|[152.5617937]|[225.36276907]
436|[151.73064538]|[224.11409278]
437|[151.73064538]|[224.11409278]
438|[151.45686004]|[222.63929056]
439|[151.45686004]|[222.63929056]
440|[151.7483051]|[221.16787635]
441|[151.7483051]|[221.16787635]
442|[151.7483051]|[221.16787635]
443|[152.92245667]|[220.23440537]
444|[153.36275915]|[218.80048288]
445|[153.36275915]|[218.80048288]
446|[153.36275915]|[218.80048288]
447|[153.21740679]|[217.30754192]
448|[153.21740679]|[217.30754192]
449|[153.07202006]|[215.81460432]
450|[152.92662492]|[214.32166753]
451|[152.92662492]|[214.32166753]
452|[152.78117799]|[212.82873579]
453|[152.78117799]|[212.82873579]
454|[152.63568506]|[211.33580852]
455|[152.49017816]|[209.84288262]
456|[152.34974453]|[208.34947096]
457|[152.21135209]|[206.85586876]
458|[152.0737609]|[205.36219254]
459|[151.9364666]|[203.86848899]
460|[151.79926812]|[202.37477665]
461|[151.66207936]|[200.88106341]
462|[151.52485923]|[199.38735305]
463|[151.38759591]|[197.89364666]
464|[151.2502897]|[196.39994421]
465|[151.11293677]|[194.90624605]
466|[150.97554027]|[193.41255191]
467|[150.8380989]|[191.91886189]
468|[150.70061886]|[190.42517543]
469|[150.56310295]|[188.93149227]
470|[150.42555221]|[187.43781232]
471|[150.2879661]|[185.94413563]
472|[150.15034353]|[184.4504623]
473|[151.61570304]|[184.77096422]
474|[152.80258894]|[185.68818931]
475|[153.79141848]|[186.8161149]
476|[154.70141515]|[188.00855193]
477|[155.59927628]|[189.21015311]
478|[156.48836884]|[190.41825675]
479|[157.37455982]|[191.62849043]
480|[158.27417155]|[192.82878154]
481|[159.18153821]|[194.02322105]
482|[160.08183994]|[195.22299469]
483|[160.98659734]|[196.41941186]
484|[161.91281961]|[197.59928995]
485|[162.86214976]|[198.7606565]
486|[163.81620664]|[199.9181432]
487|[164.75533097]|[201.08777798]
488|[165.68485092]|[202.26505987]
489|[166.62533362]|[203.43360267]
490|[167.5772291]|[204.59286753]
491|[168.51974829]|[205.75976837]
492|[169.43396477]|[206.94897324]
493|[170.31285782]|[208.16451715]
494|[171.14168648]|[209.41473436]
495|[171.98234569]|[210.65702744]
496|[172.86752323]|[211.86800255]
497|[173.79794887]|[213.04456879]
498|[174.78387987]|[214.17502891]
499|[175.83524976]|[215.24489869]
500|[175.83524976]|[215.24489869]
501|[175.83524976]|[215.24489869]
502|[175.83524976]|[215.24489869]
503|[176.57727395]|[216.5485091]
504|[177.32354185]|[217.8496948]
505|[177.32354185]|[217.8496948]
506|[178.13210456]|[219.11311331]
507|[178.13210456]|[219.11311331]
508|[178.13210456]|[219.11311331]
509|[178.13210456]|[219.11311331]
510|[179.05032016]|[220.29923309]
511|[180.11008423]|[221.3607886]
512|[180.11008423]|[221.3607886]
513|[181.14217762]|[222.44926609]
514|[181.14217762]|[222.44926609]
515|[182.32044035]|[223.37754241]
516|[183.54400468]|[224.24523494]
517|[183.54400468]|[224.24523494]
518|[184.61315006]|[225.29734148]
519|[184.61315006]|[225.29734148]
520|[185.64613509]|[226.38497281]
521|[185.64613509]|[226.38497281]
522|[186.88773686]|[227.22665271]
523|[186.88773686]|[227.22665271]
524|[188.28015735]|[227.78447451]
525|[189.7043378]|[228.25533548]
526|[189.7043378]|[228.25533548]
527|[191.14982264]|[228.65605183]
528|[191.14982264]|[228.65605183]
529|[192.64936871]|[228.69295154]
530|[194.14715297]|[228.61145124]
531|[194.14715297]|[228.61145124]
532|[195.55411762]|[228.09140272]
533|[196.96892771]|[227.59309316]
534|[196.96892771]|[227.59309316]
535|[198.2614682]|[226.83194988]
536|[199.49996562]|[225.98570871]
537|[199.49996562]|[225.98570871]
538|[200.78150666]|[225.20618797]
539|[200.78150666]|[225.20618797]
540|[201.86386069]|[224.16767473]
541|[201.86386069]|[224.16767473]
542|[203.01071246]|[223.20085985]
543|[204.09251401]|[222.16177111]
544|[205.14469728]|[221.09270125]
545|[206.09615226]|[219.93307483]
546|[206.87813757]|[218.65303617]
547|[206.87813757]|[218.65303617]
548|[207.47511745]|[217.27694932]
549|[206.57628426]|[216.0760751]
550|[206.57628426]|[216.0760751]
551|[206.01784279]|[214.68390301]
552|[206.01784279]|[214.68390301]
553|[204.51996536]|[214.60413323]
554|[204.51996536]|[214.60413323]
555|[203.97165763]|[213.20793889]
556|[203.97165763]|[213.20793889]
557|[203.42336013]|[211.81174053]
558|[202.8750639]|[210.41554168]
559|[202.8750639]|[210.41554168]
560|[202.8750639]|[210.41554168]
561|[202.32676515]|[209.01934381]
562|[201.77846771]|[207.62314543]
563|[201.77846771]|[207.62314543]
564|[201.23017583]|[206.22694487]
565|[201.23017583]|[206.22694487]
566|[201.23017583]|[206.22694487]
567|[200.68190983]|[204.83073414]
568|[200.68190983]|[204.83073414]
569|[200.1336675]|[203.43451412]
570|[199.58543552]|[202.03829003]
571|[199.58543552]|[202.03829003]
572|[199.58543552]|[202.03829003]
573|[199.03724901]|[200.6420481]
574|[199.03724901]|[200.6420481]
575|[198.48910148]|[199.24579085]
576|[197.94096539]|[197.84952912]
577|[197.39284892]|[196.45325968]
578|[197.39284892]|[196.45325968]
579|[196.84476932]|[195.05697578]
580|[196.2967036]|[193.66068642]
581|[195.74865181]|[192.2643916]
582|[195.20061582]|[190.86809057]
583|[194.65259686]|[189.47178286]
584|[194.10459873]|[188.07546698]
585|[193.55662127]|[186.67914298]
586|[193.00866648]|[185.28281009]
587|[192.46073579]|[183.88646774]
588|[191.91282252]|[182.49011855]
589|[191.37002599]|[181.09177241]
590|[190.82932253]|[179.69261561]
591|[190.28947904]|[178.29312677]
592|[189.74999367]|[176.89349984]
593|[188.45013449]|[177.6420759]
594|[187.59554565]|[178.87482807]
595|[186.97727696]|[180.24148232]
596|[186.4837646]|[181.6579729]
