|X_Positions|Y_Positions
985|[739.01948748]|[711.56355562]
986|[739.01948748]|[711.56355562]
987|[739.01948748]|[711.56355562]
988|[739.01948748]|[711.56355562]
989|[739.01948748]|[711.56355562]
990|[739.01948748]|[711.56355562]
991|[739.01948748]|[711.56355562]
992|[739.01948748]|[711.56355562]
993|[739.01948748]|[711.56355562]
994|[739.01948748]|[711.56355562]
995|[739.01948748]|[711.56355562]
996|[739.01948748]|[711.56355562]
997|[739.01948748]|[711.56355562]
998|[739.01948748]|[711.56355562]
999|[739.01948748]|[711.56355562]
1000|[739.01948748]|[711.56355562]
