|X_Positions|Y_Positions
396|[106.75737142]|[128.03978541]
397|[106.62392521]|[129.53383766]
398|[106.49044818]|[131.02788715]
399|[106.35694135]|[132.52193398]
400|[106.22340932]|[134.01597855]
401|[106.0898617]|[135.51002174]
402|[105.95630823]|[137.0040644]
403|[105.82274972]|[138.49810661]
404|[105.68918712]|[139.99214845]
405|[105.55561507]|[141.48618945]
406|[105.42899033]|[142.98083529]
407|[105.30522827]|[144.47572088]
408|[105.18263989]|[145.97070319]
409|[105.06052369]|[147.46572414]
410|[104.92545965]|[148.95963099]
411|[104.78506311]|[150.45304615]
412|[104.64246765]|[151.94625294]
413|[104.49896635]|[153.43937296]
414|[104.35507591]|[154.93245552]
415|[104.21103549]|[156.42552362]
416|[104.06693067]|[157.91858551]
417|[103.92278617]|[159.41164357]
418|[103.77862676]|[160.90470018]
419|[103.63446184]|[162.39775627]
420|[103.50913036]|[163.89251111]
421|[103.38942279]|[165.38772684]
422|[103.27204901]|[166.88312759]
423|[103.15564046]|[168.37860379]
424|[103.03961937]|[169.87411009]
425|[102.92373605]|[171.36962708]
426|[102.80787478]|[172.86514577]
427|[102.69200624]|[174.3606639]
428|[102.60021133]|[175.8578525]
429|[102.54079385]|[177.35667522]
430|[102.51618183]|[178.85647329]
431|[102.53162646]|[180.35639378]
432|[102.58607555]|[181.85540522]
433|[102.67835863]|[183.35256381]
434|[102.81382089]|[184.84643461]
435|[102.99118628]|[186.33591154]
436|[103.21392755]|[187.81928146]
437|[103.48650268]|[189.29430783]
438|[103.80657425]|[190.75976141]
439|[104.17172969]|[192.21463649]
440|[104.58703639]|[193.65599708]
441|[105.05385126]|[195.08150888]
442|[105.57510367]|[196.48802796]
443|[106.1520083]|[197.87265102]
444|[107.2929496]|[196.89886821]
445|[107.93302266]|[195.54228925]
446|[108.33477129]|[194.09709098]
447|[108.63598038]|[192.62764446]
448|[108.89580495]|[191.15031877]
449|[109.13870304]|[189.67011591]
450|[109.37467978]|[188.18879387]
451|[109.60782065]|[186.70702286]
452|[109.83979287]|[185.22506844]
453|[110.07128474]|[183.74303892]
454|[110.30257041]|[182.2609772]
455|[110.53376598]|[180.77890142]
456|[110.76492211]|[179.29681949]
457|[110.99045036]|[177.81387074]
458|[111.21368224]|[176.33057457]
459|[111.4359814]|[174.84713832]
460|[111.65789451]|[173.36364428]
461|[111.87964872]|[171.88012648]
462|[112.10133908]|[170.39659913]
463|[112.32300217]|[168.91306772]
464|[112.5446516]|[167.42953425]
465|[112.7662933]|[165.94599964]
466|[112.98792835]|[164.46246403]
467|[113.20955253]|[162.9789268]
468|[113.43116663]|[161.49538806]
469|[113.65277049]|[160.01184779]
470|[113.87435676]|[158.52830489]
471|[114.09592896]|[157.04475989]
472|[114.31748916]|[155.5612131]
473|[114.53903404]|[154.07766403]
474|[114.76056118]|[152.5941123]
475|[114.98206245]|[151.11055671]
476|[115.20352945]|[149.626996]
477|[115.42496114]|[148.14343003]
478|[115.64635174]|[146.65985792]
479|[115.86770206]|[145.1762798]
480|[116.08901051]|[143.69269543]
481|[116.31026855]|[142.20910355]
482|[116.53147462]|[140.72550391]
483|[116.75261125]|[139.24189393]
484|[116.97367625]|[137.75827327]
485|[117.194674]|[136.27464259]
486|[117.41560198]|[134.79100152]
487|[117.63646493]|[133.30735076]
488|[117.85725147]|[131.82368864]
489|[118.07796417]|[130.34001553]
490|[118.29861707]|[128.85633352]
491|[118.51921402]|[127.37264319]
492|[118.7397606]|[125.88894538]
493|[118.96026079]|[124.40524067]
494|[119.1807141]|[122.92152899]
495|[119.40720949]|[121.43872764]
496|[119.64851468]|[119.95826427]
497|[119.89590775]|[118.47880603]
498|[120.14581115]|[116.99976976]
499|[120.39673546]|[115.52090635]
500|[120.64807238]|[114.04211301]
501|[120.89957334]|[112.56334755]
502|[121.15113925]|[111.08459315]
503|[121.4027233]|[109.60584183]
504|[121.64525936]|[108.1255796]
505|[121.88404174]|[106.64470723]
506|[122.12125448]|[105.16358262]
507|[122.3578146]|[103.68235363]
508|[122.5940947]|[102.20107995]
509|[122.83026185]|[100.71978826]
510|[123.06637719]|[99.23848831]
511|[123.30245985]|[97.75718315]
512|[123.53852191]|[96.27587471]
513|[123.77458467]|[94.79456637]
514|[124.0106513]|[93.31325866]
